filename                         MJD Frequency   bandw backend   length           name       DM       RM
00162.FTS.fixedfreq.debase 50719.394 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00163.FTS.fixedfreq.debase 50720.019 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00164.FTS.fixedfreq.debase 50721.182 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00165.FTS.fixedfreq.debase 50723.515 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00166.FTS.fixedfreq.debase 50724.398 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00167.FTS.fixedfreq.debase 50725.469 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00168.FTS.fixedfreq.debase 50726.084 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00169.FTS.fixedfreq.debase 50728.246 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00170.FTS.fixedfreq.debase 50732.341  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00171.FTS.fixedfreq.debase 50735.437  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00172.FTS.fixedfreq.debase 50742.021  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00173.FTS.fixedfreq.debase 50749.099  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00174.FTS.fixedfreq.debase 50753.346  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00175.FTS.fixedfreq.debase 50755.349  609.0000    -4.0 AFB       1326.9      0631+1036  125.350    0.000
00176.FTS.fixedfreq.debase 50756.136 1412.0000   -32.0 AFB       1080.0      0631+1036  125.350    0.000
00177.FTS.fixedfreq.debase 50760.091 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00178.FTS.fixedfreq.debase 50762.148 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00179.FTS.fixedfreq.debase 50765.181 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00180.FTS.fixedfreq.debase 50769.211 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00181.FTS.fixedfreq.debase 50786.160 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00182.FTS.fixedfreq.debase 50790.070 1380.0000   -96.0 AFB        960.0      0631+1036  125.350    0.000
00183.FTS.fixedfreq.debase 50793.220 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00184.FTS.fixedfreq.debase 50796.082 1380.0000   -96.0 AFB        360.0      0631+1036  125.350    0.000
00185.FTS.fixedfreq.debase 50797.137 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00186.FTS.fixedfreq.debase 50801.098 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00187.FTS.fixedfreq.debase 50803.191 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00188.FTS.fixedfreq.debase 50804.035 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00189.FTS.fixedfreq.debase 50809.105  610.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00190.FTS.fixedfreq.debase 50812.106  610.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00191.FTS.fixedfreq.debase 50815.089  610.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00192.FTS.fixedfreq.debase 50818.905 1380.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00193.FTS.fixedfreq.debase 50822.005 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00194.FTS.fixedfreq.debase 50825.230 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00195.FTS.fixedfreq.debase 50830.907 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00196.FTS.fixedfreq.debase 50831.966 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00197.FTS.fixedfreq.debase 50835.978 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00198.FTS.fixedfreq.debase 50842.161 1380.0000   -96.0 AFB        957.7      0631+1036  125.350    0.000
00199.FTS.fixedfreq.debase 50845.116 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00200.FTS.fixedfreq.debase 50848.888 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00201.FTS.fixedfreq.debase 50851.844 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00202.FTS.fixedfreq.debase 50856.929 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00203.FTS.fixedfreq.debase 50859.940 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00204.FTS.fixedfreq.debase 50870.923 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00205.FTS.fixedfreq.debase 50873.914 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00206.FTS.fixedfreq.debase 50875.828 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00207.FTS.fixedfreq.debase 50878.760 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00208.FTS.fixedfreq.debase 50882.725 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00209.FTS.fixedfreq.debase 50889.672  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00210.FTS.fixedfreq.debase 50893.847  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00211.FTS.fixedfreq.debase 50897.828  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00212.FTS.fixedfreq.debase 50900.970  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00213.FTS.fixedfreq.debase 50901.744  609.0000    -4.0 AFB       1618.7      0631+1036  125.350    0.000
00214.FTS.fixedfreq.debase 50902.871 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00215.FTS.fixedfreq.debase 50905.825 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00216.FTS.fixedfreq.debase 50911.494 1380.0000   -96.0 AFB        957.7      0631+1036  125.350    0.000
00217.FTS.fixedfreq.debase 50928.548 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00218.FTS.fixedfreq.debase 50936.796 1380.0000   -96.0 AFB        598.6      0631+1036  125.350    0.000
00219.FTS.fixedfreq.debase 50941.876 1380.0000   -96.0 AFB        838.0      0631+1036  125.350    0.000
00220.FTS.fixedfreq.debase 50947.710 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00221.FTS.fixedfreq.debase 50948.758 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00222.FTS.fixedfreq.debase 50958.494 1380.0000   -96.0 AFB        838.0      0631+1036  125.350    0.000
00223.FTS.fixedfreq.debase 50959.516 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00224.FTS.fixedfreq.debase 50962.575 1380.0000   -96.0 AFB        838.0      0631+1036  125.350    0.000
00225.FTS.fixedfreq.debase 50965.607 1380.0000   -96.0 AFB       1077.4      0631+1036  125.350    0.000
00226.FTS.fixedfreq.debase 51012.284 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00227.FTS.fixedfreq.debase 51013.215 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00228.FTS.fixedfreq.debase 51020.260 1376.0000   -96.0 AFB        960.0      0631+1036  125.350    0.000
00229.FTS.fixedfreq.debase 51024.228 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00230.FTS.fixedfreq.debase 51032.263 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00231.FTS.fixedfreq.debase 51040.175 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00232.FTS.fixedfreq.debase 51060.220 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00233.FTS.fixedfreq.debase 51063.366 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00234.FTS.fixedfreq.debase 51069.503 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00235.FTS.fixedfreq.debase 51074.484 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00236.FTS.fixedfreq.debase 51078.368 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00237.FTS.fixedfreq.debase 51086.139 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00238.FTS.fixedfreq.debase 51089.177 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00239.FTS.fixedfreq.debase 51091.235 1376.0000   -96.0 AFB        960.0      0631+1036  125.350    0.000
00240.FTS.fixedfreq.debase 51092.271 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00241.FTS.fixedfreq.debase 51093.280 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00242.FTS.fixedfreq.debase 51094.307 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00243.FTS.fixedfreq.debase 51097.307 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00244.FTS.fixedfreq.debase 51108.118 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00245.FTS.fixedfreq.debase 51113.989 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00246.FTS.fixedfreq.debase 51117.018 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00247.FTS.fixedfreq.debase 51120.111 1376.0000   -96.0 AFB        960.0      0631+1036  125.350    0.000
00248.FTS.fixedfreq.debase 51121.254 1376.0000   -96.0 AFB        960.0      0631+1036  125.350    0.000
00249.FTS.fixedfreq.debase 51122.311 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
00250.FTS.fixedfreq.debase 51127.196 1376.0000   -96.0 AFB       1080.0      0631+1036  125.350    0.000
