min_points,window_days,step_days,n_windows_rank1,n_fit_points,n_inliers,inlier_fraction,rmse_inlier,wrmse_inlier,r2_inlier,slope_days_per_day,intercept_days
350,2500.0,2900.0,3,3,3,1.0,24.784542565710776,27.924767920813753,0.983778577899708,0.054359002856406706,785.6468272182241
350,2800.0,2900.0,3,3,3,1.0,26.575379078385954,29.059496767689833,0.6944494918660247,-0.011452449393388001,981.9469662945122
350,2600.0,2500.0,3,3,3,1.0,27.453963214104572,31.22136210446587,0.9914535087901585,0.09483410012066482,671.8436736859969
400,2600.0,2500.0,3,3,3,1.0,27.453963214104572,31.22136210446587,0.9914535087901585,0.09483410012066482,671.8436736859969
100,2600.0,2600.0,4,4,4,1.0,27.33779110110067,32.68961517427248,0.9936367056737951,0.1175189421578244,712.5786961011981
150,2600.0,2600.0,4,4,4,1.0,27.33779110110067,32.68961517427248,0.9936367056737951,0.1175189421578244,712.5786961011981
200,2600.0,2600.0,4,4,4,1.0,27.33779110110067,32.68961517427248,0.9936367056737951,0.1175189421578244,712.5786961011981
250,2600.0,2600.0,4,4,4,1.0,27.33779110110067,32.68961517427248,0.9936367056737951,0.1175189421578244,712.5786961011981
300,2600.0,2600.0,4,4,4,1.0,27.33779110110067,32.68961517427248,0.9936367056737951,0.1175189421578244,712.5786961011981
150,2600.0,2500.0,4,4,4,1.0,41.27975118137184,37.291225212972684,0.9746674494236977,0.09160745705593036,652.4959844569775
200,2600.0,2500.0,4,4,4,1.0,41.27975118137184,37.291225212972684,0.9746674494236977,0.09160745705593036,652.4959844569775
250,2600.0,2500.0,4,4,4,1.0,41.27975118137184,37.291225212972684,0.9746674494236977,0.09160745705593036,652.4959844569775
300,2600.0,2500.0,4,4,4,1.0,41.27975118137184,37.291225212972684,0.9746674494236977,0.09160745705593036,652.4959844569775
50,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
100,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
150,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
200,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
250,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
300,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
350,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
400,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
450,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
500,3300.0,2700.0,4,4,4,1.0,39.05342044737833,39.01674336535239,0.7934938647221215,-0.02618623824893532,869.3487955681995
50,2700.0,3000.0,4,4,4,1.0,40.69062420772012,40.754443062298925,0.7618947714615104,-0.02267742024056875,890.8421313496846
100,2700.0,3000.0,4,4,4,1.0,40.69062420772012,40.754443062298925,0.7618947714615104,-0.02267742024056875,890.8421313496846
150,2700.0,3000.0,4,4,4,1.0,40.69062420772012,40.754443062298925,0.7618947714615104,-0.02267742024056875,890.8421313496846
200,2700.0,3000.0,4,4,4,1.0,40.69062420772012,40.754443062298925,0.7618947714615104,-0.02267742024056875,890.8421313496846
250,2700.0,3000.0,4,4,4,1.0,40.69062420772012,40.754443062298925,0.7618947714615104,-0.02267742024056875,890.8421313496846
300,2700.0,3000.0,4,4,4,1.0,40.69062420772012,40.754443062298925,0.7618947714615104,-0.02267742024056875,890.8421313496846
100,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
150,3500.0,2600.0,4,4,4,1.0,45.06063366749466,44.72448600910823,0.9680055936050087,0.08764118023190424,648.3978922787245
