first_gap,gap_step,window_total,n_target_peaks,n_matched,frac_matched,total_abs_centre_residual,rms_centre_residual,mean_abs_centre_residual,anchor_mjd
651.0,24.0,200.0,7,4,0.5714285714285714,148.0,45.03887209955418,37.0,50014.067
651.0,24.0,250.0,7,4,0.5714285714285714,148.0,45.03887209955418,37.0,50014.067
660.0,23.0,150.0,7,4,0.5714285714285714,149.0,38.421998906876254,37.25,50014.067
660.0,23.0,200.0,7,4,0.5714285714285714,149.0,38.421998906876254,37.25,50014.067
654.0,24.0,150.0,7,4,0.5714285714285714,151.0,40.469124033020535,37.75,50014.067
654.0,24.0,200.0,7,4,0.5714285714285714,151.0,40.469124033020535,37.75,50014.067
654.0,24.0,250.0,7,4,0.5714285714285714,151.0,40.469124033020535,37.75,50014.067
666.0,25.0,200.0,7,4,0.5714285714285714,152.0,46.66904755831214,38.0,50014.067
666.0,25.0,250.0,7,4,0.5714285714285714,152.0,46.66904755831214,38.0,50014.067
664.0,20.0,150.0,7,4,0.5714285714285714,157.0,42.64680527307995,39.25,50014.067
664.0,20.0,200.0,7,4,0.5714285714285714,157.0,42.64680527307995,39.25,50014.067
664.0,20.0,250.0,7,4,0.5714285714285714,157.0,42.64680527307995,39.25,50014.067
657.0,22.0,150.0,7,4,0.5714285714285714,158.0,43.16827538829875,39.5,50014.067
657.0,22.0,200.0,7,4,0.5714285714285714,158.0,43.16827538829875,39.5,50014.067
657.0,22.0,250.0,7,4,0.5714285714285714,158.0,43.16827538829875,39.5,50014.067
650.0,24.0,150.0,7,4,0.5714285714285714,159.0,48.721145306735146,39.75,50014.067
650.0,24.0,200.0,7,4,0.5714285714285714,159.0,48.721145306735146,39.75,50014.067
650.0,24.0,250.0,7,4,0.5714285714285714,159.0,48.721145306735146,39.75,50014.067
667.0,25.0,200.0,7,4,0.5714285714285714,159.0,51.24207255761617,39.75,50014.067
667.0,25.0,250.0,7,4,0.5714285714285714,159.0,51.24207255761617,39.75,50014.067
661.0,23.0,150.0,7,4,0.5714285714285714,160.0,42.30248219667494,40.0,50014.067
661.0,23.0,200.0,7,4,0.5714285714285714,160.0,42.30248219667494,40.0,50014.067
670.0,22.0,150.0,7,4,0.5714285714285714,160.0,50.333885206687555,40.0,50014.067
655.0,24.0,150.0,7,4,0.5714285714285714,162.0,41.50301193889427,40.5,50014.067
655.0,24.0,200.0,7,4,0.5714285714285714,162.0,41.50301193889427,40.5,50014.067
660.0,26.0,200.0,7,4,0.5714285714285714,162.0,49.96498774141749,40.5,50014.067
660.0,26.0,250.0,7,4,0.5714285714285714,162.0,49.96498774141749,40.5,50014.067
659.0,26.0,150.0,7,4,0.5714285714285714,165.0,48.41745553000488,41.25,50014.067
