lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global,segment_id,segment_label,segment_start,segment_end,segment_center,n_spin_points,n_pc_points
-200.0,-0.1637255237255237,0.21986487387690853,0.5194805194805194,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-180.0,-0.08347058347058348,0.22169057881959697,0.8301698301698301,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-160.0,0.036710280710280714,0.22455370809877714,0.9230769230769231,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-140.0,0.146978510978511,0.22800023372951864,0.6153846153846154,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-120.0,0.2348128268128268,0.229909138374029,0.2837162837162837,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-100.0,0.2771160011160011,0.22961125850465453,0.1048951048951049,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-80.0,0.2572836892836893,0.2281285058992649,0.17082917082917082,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-60.0,0.25510089910089917,0.22511316002004214,0.16683316683316685,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-40.0,0.27029507429507427,0.223604540127507,0.11588411588411589,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-20.0,0.19024689424689425,0.22374160076681884,0.4325674325674326,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
0.0,0.11011368211368211,0.22233719027684043,0.7612387612387612,1000,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
20.0,-0.017110719989657356,0.21943856605799567,0.951048951048951,980,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
40.0,-0.22979670388097206,0.21721250807744646,0.24075924075924077,960,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
60.0,-0.44761148391348127,0.2199885915488797,0.04795204795204795,940,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
80.0,-0.5345912096037345,0.22757827195551394,0.005994005994005994,920,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
100.0,-0.5129846991580649,0.23206027168476445,0.03896103896103896,900,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
120.0,-0.47002975562632787,0.23263575769719616,0.055944055944055944,880,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
140.0,-0.407915691083009,0.2330011898919779,0.07992007992007992,860,spearman,circular,PC1,0.34865134865134867,0.7612387612387612,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
