MJD,PC1,PC2,PC3,dataset
51583.929,0.26757292720603654,0.022615748804481157,-0.5556477335459603,AFB
51589.83,0.06878733334742172,-0.4697418779851646,-0.8652660638020688,AFB
51595.852,0.7313136944427604,0.7525435347925086,-0.7987209592076877,AFB
51601.908,0.6976094781817954,0.9557367488843516,-0.6866145662892174,AFB
51606.825,1.230833824659192,-0.056677376777770155,0.15169902888238707,AFB
51611.763,1.112977176780208,0.2525040224841503,-0.4301488302388574,AFB
51614.899,0.6524590917289879,0.6323544805018823,-0.6758373842140407,AFB
51616.753,0.47452519225105827,0.639868271379555,-0.9335356745908067,AFB
51621.945,0.8350291946193418,-0.026748888624277975,-0.19901427452545462,AFB
51627.797,1.5666940063648676,-0.37877795902926176,0.5447617889207806,AFB
51632.867,1.2740642031015441,0.06486657459075973,-0.7703655302451028,AFB
51641.766,1.0527080372458868,0.025520407661245605,-1.732781254954674,AFB
51669.884,0.6084895528447903,0.3913416079325641,-0.284055008953955,AFB
51689.742,0.13643267942576187,-0.6721958124280252,-0.2701325417996621,AFB
51693.488,0.03808076958290163,-0.3704859960313574,-0.07722457123313625,AFB
51706.712,0.5432292795334155,0.4224580384054518,0.4768913213562534,AFB
51713.706,0.1632422038162095,0.4884160278638995,0.40989586322362004,AFB
51805.169,0.1638403406055395,0.07122253003040635,0.06110554331065337,AFB
51814.386,0.486539551070438,0.20036337040870753,0.0007417619134487923,AFB
51817.503,0.04520420461972769,-0.19075101060983343,0.16894790271174492,AFB
51820.379,0.03610396550656578,-0.5615238554147441,0.45030503816541445,AFB
51823.315,-0.0347888720567741,-0.7820911759418111,0.6076414418870801,AFB
51827.285,-0.0266693242977153,-0.9060823599637562,0.8443134918306228,AFB
51843.234,-0.5744506375751526,-0.46535911577176775,-0.692056253829522,AFB
51849.991,-0.3731930186953596,-0.7119465949442142,-1.2737646134457081,AFB
51857.1,-0.5763850708604489,-0.19387307927973338,-0.24107622873156298,AFB
51871.097,-1.1357968078753127,0.3870599899443161,-1.4573651235808096,AFB
51899.174,0.07113839698207673,-0.5601661382561784,-1.076560060552212,AFB
51903.963,-0.13070335389463794,-0.7382814560167179,-0.7453434622104225,AFB
51908.137,0.6815068372620104,-0.7487578346319469,-0.3553419537601662,AFB
51911.131,0.9694356779975011,-0.1708786654492708,-0.3235337206468477,AFB
51928.974,0.8604680098495613,0.22634757016713475,-0.6996693440407661,AFB
51954.05,0.9264665548303072,1.0914928622216233,-0.668300811182062,AFB
51965.008,1.5156670168670876,0.4022864207258333,-0.12629773030741617,AFB
